"Devotional Song Lyrics
",Devotional Song Meaning
"Rama Sita Krishna Radha Vittala Rakhumayi Jaya Jaya Vittala Rakhumayi
Sooradasa Prabhu Karuna Sagara Vittala Rakhumayi
Meera Ke Prabhu Giridhara Nagara Vittala Rakhumayi
Panduranga Prabhu Pandari Natha Vittala Rakhumayi Jaya Jaya Vittala Rakhumayi
Vittala Vittala Vittala Jai Jai
","Glory to victorious Lord Rama, Lord of Sita; Glory to victorious Lord Krishna, Lord of Radha; Glory to victorious Lord Vittala, Lord of Rukmani Victory to Lord Vitthala, the lord of Meera, Soordas, Pandari
"
"Natavara Krishna Natavara Krishna Radhey Nandalala
Harey Harey Madhava Harey Gopika Lola
Karishna Ghana Ghana Nila Krishna Gokula Bala
Harey Harey Madhava Harey Gopika Lola
","Chant the many names of the Lord: Krishna, Madhava, the Lord of Radha and the darling son of Nanda. O Dark blue-complexioned Lord Krishna of Gokula! Thou art the master actor of the Divine Play."
"Deena Bandhu Vitthala Jai Karuna Sindhu Vitthala Jai
Vitthala (3) Jai Paanduranga Vitthala Jai
Apath Bhaandhava Vitthala Jai Anaatha Rakshaka Vitthala Jai
Vitthala (3) Jai Paanduranaga Vitthala Jai
Parthi Pureesha Vitthala Jai Sri Satha Sai Vitthala Jai
Vitthala (3) Jai Paanduranaga Vitthala Jai 

","Dear lord you are the friend of the forlorn. You protect us in times of distress, we pray to the one who is splenderous white. You are also the lord of Parthi."
"Sai Ram Sai Ram
Gaye Geet Sada Subha Aur Shyam 
Har Ek Phal Pein Har Ek Kshan Mein 
Bhaja Ham Sada Tero Naam (Gaye ...) 
Koyi Kahe Thujhe Janaki Ram 
Koyi Pukare Radhey Shyam 
Hamarey Liye Thum Sai Bhagavaan (Gaye ...) 
","Chant 'Sai Ram'. Let us sing glory of Lord Sai Ram day and night, every minute and every second. Some pray Thee as Lord of Janaki- Lord Rama; some as Lord of Radha - Lord Shyama; but for us, Thou art Lord Sai Baba."
"Sri Ranga Sri Ranga Ranga Ranga Sri Ranga (2)
Kaveri Tatavasa Kasturi Ranga
Karunya Lavanya Karunanta Ranga
Jai Panduranga Jai Sai Ranga (2)
","We adore Lord Ranganatha who exudes a heavenly aroma! 
You are the One whose shrine is located on the banks of the holy River Kaveri.
O Lord, Your Beauty and Grace is Unmatched! You are the Infinite Reservoir of Compassion.
Victory to You, O Lord Sai, the Purest One in White Complexion! O Sai Ranganatha, Victory to You, the Eternal Preserver of this Universe."
"Bhaja Mana Ram Bhaja Mana Ram 
Panduranga Shree Ranga Bhaja Mana Ram 
Bhaja Mana Keshava Bhaja Mana Madhava 
Bhaja Mana Yaadava Bhaja Mana Ram 
Bhaja Mana Mukunda Bhaja Mana Govinda 
Bhaja Mana Aananda Bhaja Mana Ram","O Mind! Worship Lord Rama, Panduranga, Keshava, Madhava, Yadava, Mukunda and Govinda. Be in 
bliss worshipping all these names of the Lord."
"Shankara Shiva Shankara Shiva Shankara Shambho 
Shankara Shiva Shankara Shiva Shambho Mahadeva 
Shankara Shiva Shankara Shiva Shankara Shambho 
Dhama Dhama Dhamaru Bhajey Shankara 
Ghana Ghana Ghanta Bhajey 
Hara Bholanatha Shambho 
Sathya Sai Naathha Shambho ","Chant the Names of the Lord: Shankara, Shiva, Shambho and Mahadeva Accompanied by 'Damaru' (drum) beats of 'Dama, Dama' and the sound of ringing bells (Ghanta) 'Ghana Ghana'. Chant the easy-to-please name of Lord Sai Naathha who destroys all miseries of life"
"Madhava Keshava O Mere Atma Ram
Tum Ho Mere Bhagavan  
Baba Tum Ho Mere Bhagavan
Sharanam Prabhu Sharanam Prabhu 
Sharanam Hare Sai Ram 
Daya Karo Daya Karo 
Daya Karo Bhagavan
Daya Karo Kripa Karo 
Raksha Karo Bhagavan","You are known as Madhava and Keshava, you are also my inner resident. You are my lord, Baba. I seek thy refuge, be merciful dear lord, please do protect me."
"A temple in my heart, a prayer in my soul
A song on my lips and I sing to You (2X)

Baba Sai Baba, Sathya Sai Baba, Baba Sai
Baba,
I sing to You
Sathya Sai Baba, Baba Sai Baba, Sathya Sai
Baba,
I call to You
A light in my heart, a yearning in my soul
A name on my lips and I call to You (2X)

Joy in my heart, peace in my soul
A smile on my lips and I sing to You (2X)
",
"Sai you are More Precious than Silver
 Sai you are More Value than Gold
 Sai you are More Beautiful than Diamonds
 Nothing I desire compares with You ",
